YAL025C,YOL080C
YAL025C,YOL093W
YAL025C,YOL124C
YAL025C,YOL144W
YAL025C,YOR004W
YAL025C,YOR006C
YAL025C,YOR078W
YAL025C,YOR091W
YAL025C,YOR101W
YAL025C,YOR116C
YAL025C,YOR145C
YAL025C,YOR206W
YAL025C,YOR243C
YAL025C,YOR252W
YAL025C,YOR272W
YAL025C,YOR287C
YAL025C,YOR294W
YAL025C,YOR310C
YAL025C,YOR340C
YAL025C,YOR359W
YAL025C,YPL012W
YAL025C,YPL043W
YAL025C,YPL050C
YAL025C,YPL093W
YAL025C,YPL126W
YAL025C,YPL146C
YAL025C,YPL183C
YAL025C,YPL212C
YAL025C,YPL217C
YAL025C,YPL266W
YAL025C,YPR112C
YAL025C,YPR137W
YAL025C,YPR143W
YAL025C,YPR144C
YAL026C,YGR116W
YAL026C,YJL039C
YAL026C,YJL207C
YAL026C,YJR040W
YAL026C,YLL021W
YAL026C,YML104C
YAL026C,YMR207C
YAL026C,YNL163C
YAL027W,YBR193C
YAL027W,YJR100C
YAL027W,YKR087C
YAL027W,YLR102C
YAL027W,YML030W
YAL027W,YMR060C
YAL027W,YMR097C
YAL027W,YOR037W
YAL028W,YAL034C
YAL028W,YBR126C
YAL028W,YBR214W
YAL028W,YBR280C
YAL028W,YCR069W
YAL028W,YDL091C
YAL028W,YDL113C
YAL028W,YDL169C
YAL028W,YDL199C
YAL028W,YDR085C
YAL028W,YDR171W
YAL028W,YDR330W
YAL028W,YDR358W
YAL028W,YDR436W
YAL028W,YDR479C
YAL028W,YDR516C
